Record;Type;Sample Name;Measurement Date and Time;T, °C;ZP, mV;Mob, µmcm/Vs;Cond, mS/cm
290;Zeta;3(3.5) 1;3. toukokuuta 2024 12:49:21;24,9;8,28;0,6491;0,466
291;Zeta;3(3.5) 2;3. toukokuuta 2024 12:50:49;25;8,22;0,6444;0,478
292;Zeta;3(3.5) 3;3. toukokuuta 2024 12:51:28;25,1;8,35;0,6543;0,486
293;Zeta;4(3.5) 1;3. toukokuuta 2024 12:55:29;25;-13,2;-1,036;0,459
294;Zeta;4(3.5) 2;3. toukokuuta 2024 12:56:56;25,1;-13;-1,017;0,472
295;Zeta;4(3.5) 3;3. toukokuuta 2024 12:57:35;25;-13,8;-1,079;0,48
296;Zeta;5(3.5) 1;3. toukokuuta 2024 13:02:29;24,9;-22,7;-1,783;0,442
297;Zeta;5(3.5) 2;3. toukokuuta 2024 13:03:57;25;-23,4;-1,832;0,456
298;Zeta;5(3.5) 3;3. toukokuuta 2024 13:04:36;25,1;-24,3;-1,901;0,465
313;Zeta;1(6.5) 1;6. toukokuuta 2024 14:00:33;25;-12,6;-0,9896;0,516
314;Zeta;1(6.5) 2;6. toukokuuta 2024 14:02:04;25,1;-12,7;-0,9986;0,531
315;Zeta;1(6.5) 3;6. toukokuuta 2024 14:02:43;25;-14,9;-1,164;0,541
316;Zeta;2(6.5) 1;6. toukokuuta 2024 14:06:43;25;13,1;1,029;0,494
317;Zeta;2(6.5) 2;6. toukokuuta 2024 14:08:11;24,9;13,3;1,042;0,507
318;Zeta;2(6.5) 3;6. toukokuuta 2024 14:08:50;24,9;13,3;1,04;0,516
319;Zeta;3(6.5) 1;6. toukokuuta 2024 14:14:20;24,9;15,6;1,219;0,5
320;Zeta;3(6.5) 2;6. toukokuuta 2024 14:15:49;25;15,4;1,204;0,513
321;Zeta;3(6.5) 3;6. toukokuuta 2024 14:16:28;25,1;17,1;1,341;0,52
322;Zeta;4(6.5) 1;6. toukokuuta 2024 14:24:20;25;4,87;0,3815;0,401
323;Zeta;4(6.5) 2;6. toukokuuta 2024 14:25:48;25,1;5,14;0,403;0,41
324;Zeta;4(6.5) 3;6. toukokuuta 2024 14:26:27;25,1;4,76;0,3734;0,415
328;Zeta;1(6.5) 1;6. toukokuuta 2024 15:01:03;25;-10,2;-0,7965;0,308
329;Zeta;1(6.5) 2;6. toukokuuta 2024 15:03:43;25;-9,64;-0,7559;0,317
330;Zeta;1(6.5) 3;6. toukokuuta 2024 15:04:22;25;-9,63;-0,7546;0,323
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
