Record;Type;Sample Name;Measurement Date and Time;T;Z-Ave;PdI;Pk 1 Mean Int;Pk 2 Mean Int;Pk 3 Mean Int;Pk 1 Area Int;Pk 2 Area Int;Pk 3 Area Int;Aggregation Index;Scattering Angle;C(SR3), g/L;C(DNA), g/L;c(HA), g/L
227;Size;9(4/26) 1;29. huhtikuuta 2024 13:16:50;25;228,8;0,141;273,6;0;0;100;0;0;;173;0,1;0,067;0,75
228;Size;9(4/26) 2;29. huhtikuuta 2024 13:18:42;25;221,3;0,109;246,7;0;0;100;0;0;;173;0,1;0,067;0,75
229;Size;9(4/26) 3;29. huhtikuuta 2024 13:20:35;25;226,8;0,088;251;0;0;100;0;0;;173;0,1;0,067;0,75
230;Size;10(4/26) 1;29. huhtikuuta 2024 13:26:51;25;252,5;0,004;262;0;0;100;0;0;;173;0,1;0,02;0,75
231;Size;10(4/26) 2;29. huhtikuuta 2024 13:28:43;25;255,4;0,022;263,5;0;0;100;0;0;;173;0,1;0,02;0,75
232;Size;10(4/26) 3;29. huhtikuuta 2024 13:30:36;25;252,7;0,019;263,5;0;0;100;0;0;;173;0,1;0,02;0,75
269;Size;1(3.5) 1;3. toukokuuta 2024 11:36:34;24,9;159,7;0,182;194,2;0;0;100;0;0;;173;0,1;0,04;0
270;Size;1(3.5) 2;3. toukokuuta 2024 11:38:37;25;159,4;0,189;197,7;0;0;100;0;0;;173;0,1;0,04;0
271;Size;1(3.5) 3;3. toukokuuta 2024 11:40:40;25;158,2;0,197;198,2;0;0;100;0;0;;173;0,1;0,04;0
272;Size;2(3.5) 1;3. toukokuuta 2024 11:47:47;24,9;1517;0,326;1072;0;0;100;0;0;;173;0,1;0,067;0,05
273;Size;2(3.5) 2;3. toukokuuta 2024 11:49:49;24,9;1666;0,528;1251;0;0;100;0;0;;173;0,1;0,067;0,05
274;Size;2(3.5) 3;3. toukokuuta 2024 11:51:52;24,9;1442;0,317;1383;0;0;100;0;0;;173;0,1;0,067;0,05
275;Size;3(3.5) 1;3. toukokuuta 2024 11:57:32;24,9;1681;0,411;972,4;0;0;100;0;0;;173;0,1;0,02;0,05
276;Size;3(3.5) 2;3. toukokuuta 2024 11:59:35;25;1788;0,561;1172;0;0;100;0;0;;173;0,1;0,02;0,05
277;Size;3(3.5) 3;3. toukokuuta 2024 12:01:37;25;2256;0,576;1297;0;0;100;0;0;;173;0,1;0,02;0,05
278;Size;4(3.5) 1;3. toukokuuta 2024 12:11:00;24,9;2024;0,554;1282;0;0;100;0;0;;173;0,1;0,04;0,075
279;Size;4(3.5) 2;3. toukokuuta 2024 12:13:12;25,1;2373;0,622;1221;0;0;100;0;0;;173;0,1;0,04;0,075
280;Size;4(3.5) 3;3. toukokuuta 2024 12:15:25;24,9;3029;0,168;1059;0;0;100;0;0;;173;0,1;0,04;0,075
281;Size;5(3.5) 1;3. toukokuuta 2024 12:23:38;25;1747;0,431;1393;4639;0;76,7;23,3;0;;173;0,1;0,067;0,1
