Detailed,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Position X,Position Y,Unit,Category,Collection,Time,TrackID,ID
148.95199584960938,8.437509536743164,µm,Spot,Position,1,1000001182,1182
39.47880172729492,34.91590118408203,µm,Spot,Position,1,1000004893,4893
117.45700073242188,40.724300384521484,µm,Spot,Position,1,1000005708,5708
92.09210205078125,58.075599670410156,µm,Spot,Position,1,1000008243,8243
113.57499694824219,64.3906021118164,µm,Spot,Position,1,1000009134,9134
40.6172981262207,65.75640106201172,µm,Spot,Position,1,1000009300,9300
131.2239990234375,71.99459838867188,µm,Spot,Position,1,1000010214,10214
152.85299682617188,94.87850189208984,µm,Spot,Position,1,1000013408,13408
38.23899841308594,102.21499633789062,µm,Spot,Position,1,1000014383,14383
110.04100036621094,119.33300018310547,µm,Spot,Position,1,1000016863,16863
145.89599609375,121.4219970703125,µm,Spot,Position,1,1000017148,17148
149.16600036621094,8.797929763793945,µm,Spot,Position,2,1000001182,18773
142.4199981689453,37.35770034790039,µm,Spot,Position,2,1000022935,22935
117.49099731445312,40.77040100097656,µm,Spot,Position,2,1000005708,23440
91.5425033569336,58.1077995300293,µm,Spot,Position,2,1000008243,25839
40.78730010986328,66.05549621582031,µm,Spot,Position,2,1000009300,26931
131.1699981689453,72.1156005859375,µm,Spot,Position,2,1000010214,27847
152.96200561523438,94.36489868164062,µm,Spot,Position,2,1000013408,31060
38.07849884033203,102.81199645996094,µm,Spot,Position,2,1000014383,32247
110.072998046875,119.46900177001953,µm,Spot,Position,2,1000016863,34630
145.78599548339844,121.04199981689453,µm,Spot,Position,2,1000017148,34895
148.91200256347656,8.799110412597656,µm,Spot,Position,3,1000001182,36488
142.61000061035156,37.887298583984375,µm,Spot,Position,3,1000022935,40574
117.6729965209961,41.13779830932617,µm,Spot,Position,3,1000005708,41026
53.50429916381836,54.41310119628906,µm,Spot,Position,3,1000042864,42864
114.26200103759766,64.39700317382812,µm,Spot,Position,3,1000009134,44289
40.68199920654297,65.677001953125,µm,Spot,Position,3,1000009300,44482
131.9720001220703,72.67960357666016,µm,Spot,Position,3,1000010214,45520
131.52699279785156,76.64920043945312,µm,Spot,Position,3,1000046074,46074
152.97000122070312,94.50090026855469,µm,Spot,Position,3,1000013408,48646
38.23460006713867,102.81300354003906,µm,Spot,Position,3,1000014383,49781
109.81199645996094,119.51699829101562,µm,Spot,Position,3,1000016863,52098
145.8560028076172,120.29900360107422,µm,Spot,Position,3,1000017148,52252
148.87899780273438,8.805489540100098,µm,Spot,Position,4,1000001182,53991
55.193599700927734,10.14169979095459,µm,Spot,Position,4,1000054145,54145
142.83700561523438,37.8036003112793,µm,Spot,Position,4,1000022935,58165
117.79100036621094,41.674800872802734,µm,Spot,Position,4,1000005708,58640
53.139801025390625,54.01359939575195,µm,Spot,Position,4,1000042864,60406
114.43399810791016,64.1613998413086,µm,Spot,Position,4,1000009134,61822
40.54999923706055,65.65440368652344,µm,Spot,Position,4,1000009300,62034
132.10499572753906,72.05460357666016,µm,Spot,Position,4,1000010214,62966
153.17599487304688,94.3021011352539,µm,Spot,Position,4,1000013408,66158
38.28110122680664,102.86900329589844,µm,Spot,Position,4,1000014383,67378
145.7480010986328,120.12300109863281,µm,Spot,Position,4,1000017148,69794
148.80999755859375,8.800069808959961,µm,Spot,Position,5,1000001182,71615
39.45840072631836,34.35639953613281,µm,Spot,Position,5,1000004893,75213
142.5749969482422,37.836299896240234,µm,Spot,Position,5,1000022935,75736
118.0479965209961,41.85860061645508,µm,Spot,Position,5,1000005708,76291
53.06740188598633,54.005401611328125,µm,Spot,Position,5,1000042864,78027
91.24980163574219,58.510501861572266,µm,Spot,Position,5,1000008243,78656
114.4520034790039,63.71689987182617,µm,Spot,Position,5,1000009134,79388
40.2338981628418,65.64679718017578,µm,Spot,Position,5,1000009300,79660
132.3090057373047,72.3915023803711,µm,Spot,Position,5,1000010214,80670
132.30099487304688,76.98480224609375,µm,Spot,Position,5,1000046074,81308
153.1840057373047,94.6177978515625,µm,Spot,Position,5,1000013408,83788
38.89120101928711,102.98300170898438,µm,Spot,Position,5,1000014383,84947
109.677001953125,120.03800201416016,µm,Spot,Position,5,1000016863,87367
145.57400512695312,120.05400085449219,µm,Spot,Position,5,1000017148,87374
148.8159942626953,8.73840045928955,µm,Spot,Position,6,1000001182,89172
55.21220016479492,10.105500221252441,µm,Spot,Position,6,1000054145,89342
142.302001953125,37.88890075683594,µm,Spot,Position,6,1000022935,93340
117.62300109863281,42.463401794433594,µm,Spot,Position,6,1000005708,93963
53.097599029541016,53.78350067138672,µm,Spot,Position,6,1000042864,95562
91.56670379638672,58.01890182495117,µm,Spot,Position,6,1000008243,96167
114.34100341796875,63.55799865722656,µm,Spot,Position,6,1000009134,96924
40.314300537109375,65.50370025634766,µm,Spot,Position,6,1000009300,97185
132.2989959716797,72.39710235595703,µm,Spot,Position,6,1000010214,98207
132.468994140625,76.92379760742188,µm,Spot,Position,6,1000046074,98906
89.91200256347656,91.32240295410156,µm,Spot,Position,6,1000100904,100904
153.1909942626953,94.47489929199219,µm,Spot,Position,6,1000013408,101410
39.274898529052734,103.0719985961914,µm,Spot,Position,6,1000014383,102590
110.08999633789062,119.68800354003906,µm,Spot,Position,6,1000016863,104979
145.88400268554688,120.05799865722656,µm,Spot,Position,6,1000017148,105027
148.677001953125,8.675849914550781,µm,Spot,Position,7,1000001182,106862
55.21590042114258,10.273699760437012,µm,Spot,Position,7,1000054145,107081
